GO:0005737	P68366 P31749 P21802 P51668 P18827 Q14847 Q9Y4K3 P16333 P13693 Q13642 P07900 P35609 Q8WZ42 O95149 P49407 P62993 P31946 P25445 P06396 O75190 O60885 O15273 Q8WUM4 P53779 P19429 P60953 Q9UHB6 O00151 O14920 Q12933 Q16643 O95863 P15336 P08670 Q9H0R8 Q13526 P05067 P02768 P19634 Q13177 Q15750 Q8ND90 O00560 Q92793 P04792 P14136 Q9H492 P04156 P42858 Q16659 O00401 P03372 Q99816 Q9Y572 P29972 P55957 Q03001 P05019 P02452 P63104 P35579 P0CG48 Q96IZ0 Q06124 P15311 Q02952 P29474 Q03135 Q96SB4 Q6P0Q8 P84022 P41220 Q96N21 Q13153 Q92731 O75386 P21964 Q13490 P00533 Q09472 P61088 P29353 P06753 P68133 P50570 P20339 Q969Q1 P28482 P62979 P06493 P08238 Q5S007 P19174 Q9UMX0 Q13671 P35222 P38936 P07384 Q5VT25 O43318 P10721 P32121 O95989 P05230 Q16539 P04049 P50461 O43765 O95295 Q99700 P33993 P54257 P42771 O76064 P54259 Q04206 Q15327 P61457 P45984 P41218 Q00987 P37840 P17706 P26641 Q15051 Q9UKG1 P52735 P63279 Q15942 P42704 P11362 Q15834 P42766 P40763 P62258 P12931 P35221 P23508 Q13813 P18206 Q9BVA1 P12268 Q99750 O43707 Q15796 Q92876
GO:0016023	P32121 P49407 P54257 Q96N21 Q03001 P42858 P21802 O00401 P11362 P20339
GO:0097449	P05067 P15311 P14136
GO:0043292	Q969Q1 P19429 P63316 P04792 P05976
GO:0005667	P05412 Q09472 Q15796 Q04206 P12956 P35222 Q92793 O00151 P84022 Q15327
GO:0043235	P05067 P00533 P08069 P06213 P84022 P11362
GO:0001931	P15311 P35579 O75955
GO:0071144	Q15796 P84022
GO:0005783	P02768 P19634 P54257 P16333 O00560 P19320 Q01955 P17706 P04156 P42858 P35443 Q15363 P00533 Q03001 Q5S007 P02452 P49768 Q03135 P30480 Q9UMX0 P62070 Q9H0R8 Q92876 Q96SB4
GO:0005884	P12931 P15311 P68133 P35609 Q96IZ0
