GO:0051403	P28482 P62979 P05412 P53779 Q15750 Q9Y4K3 P15336 Q16539 P45984 P0CG48 O14920 O43318
GO:0043627	P28482 P29972 Q92731 P25445 P03372 P35222 P35221 Q03135 Q09472
GO:0033138	P37840 P32121 P49407 P31749 Q13153 P60953 P04049 Q03135
GO:0007264	P21802 Q13177 Q13153 P62979 P16333 P35609 P00533 P62993 P31946 P29353 P52735 O00401 Q9BZ29 P20339 P28482 Q07890 Q5S007 P60953 P12931 P62070 P35222 P35221 Q15052 P10721 P63104 P35579 P0CG48 P05230 P04049 P62258 Q13813 P11362
GO:0045807	P37840 Q03135 P50570 O75955
GO:0031069	O95863 P21802 P61812 P35222 P60953
GO:0050999	P00533 P31749 O00401 P29474 Q03135 P07900 P50570
GO:0007507	P28482 Q09472 P02461 P29353 Q15796 P19429 P04049 Q06124 P61812 P35222 P28300 P19320 Q00987 P49768
GO:0040014	P05067 Q06124 P05019 P40763 P21802
GO:0090398	Q03135 Q96SB8 P42771 P38936
GO:0051591	P18827 P05412 P02452 Q13490 Q04206
GO:0016032	P17301 Q13177 O60885 Q8WUM4 P62979 Q04206 Q92793 P19320 Q00987 P62993 P31946 Q14108 P29353 Q15942 Q99816 P63279 P28482 P42766 P40763 P19174 P12931 P12956 P30480 P21796 Q09472 P0CG48 P08670 O43765 O95295 P62258 Q03135 Q96SB4
GO:0007173	P00533 P28482 P62993 P31749 P31946 P21802 P29353 P05230 P62979 P19174 P60953 P04049 Q06124 P12931 Q13813 P11362 P38936 P0CG48 Q00987 P35609 P10721
GO:0001933	P37840 P49407 P04156 Q5S007 P49768 P06213 P84022
GO:0001934	P00533 P49407 P31749 P32121 Q13153 Q5S007 P60953 P04049 Q13526 P06213 P45984 O75955 P49768 P05230
