GO:0042802	P31749 Q96CV9 Q9GZT8 Q9Y4K3 Q13485 P07900 P03372 P35609 Q8WZ42 P62993 Q9HAU4 P15104 P27708 Q9Y6X8 Q9Y371 P02792 P60953 P30048 P23497 Q13043 Q06187 P16220 P08670 Q8IXK0 P05067 Q99963 Q13177 P42224 P02766 P04049 O00560 Q9Y295 P17661 P04792 Q13501 P04156 P42858 P19838 Q9NRR5 P04183 Q99832 P07996 O96017 P51610 O14862 Q99497 P63104 P05412 P07195 P26447 P25445 P84022 P34897 P60484 P00533 Q15109 P04406 Q15102 P60409 P27105 Q16637 P02511 P20963 Q15628 Q5S007 P23297 P02647 Q9NVV9 O14640 O75643 P09874 Q8IUH5 P38432 Q96EB6 Q9H444 P26678 Q9BSB4 P01034 Q01844 P00441 P54253 P02649 Q9Y4E8 Q04206 Q07812 P04626 O14818 P61457 P19474 Q00987 P37840 Q9UKG1 P60709 Q6DD88 Q9UJY1 P61289 P40763 P15884 P04637 Q03135 P67870 Q9UMX0 Q16740 P12004 O15169
GO:0042803	P20963 P02649 P08047 Q07812 P54274 P02760 P42224 Q04206 Q9Y6X8 P43490 P02511 O00560 P29590 O14503 Q9Y6K9 Q13137 P35609 Q15554 P12814 P21333 O43889 Q15796 P19838 Q13501 P27105 Q99816 P63316 P12883 P24752 Q03001 Q9Y371 Q99497 P43246 Q13162 P07900 Q9UER7 P39019 Q5S007 P02652 P15884 Q13485 P23497 Q13043 P06748 O14558 Q13557 P35579 P09382 P63244 P55809 O96017 Q9H444 P63167 O43707 Q9UNE7 P23297 P00441 P84022 O15169
GO:0042169	Q6PD62 P63244 O60674 P12931 P37198 Q13501
GO:0050998	O75052 P62158 Q13557 P35222 P60709 Q03135 P50570
GO:0008134	P08047 Q9GZT8 Q04206 P01106 Q15327 Q9Y295 P23771 P22352 P78527 P67809 Q14145 P49407 P19793 Q09472 P21333 P42858 Q15796 Q9H6U6 P19838 P03372 Q92769 P63279 P01100 P15172 Q96EY1 Q93009 P63104 P40337 P23396 P40763 Q9UER7 O75925 O00571 Q9Y6H1 P04637 P09874 P23497 Q13043 Q99497 P67870 P05412 P16220 Q96EB6 P15336 P09429 P49841 Q06330 P24385 P35222 P84022 Q92793
GO:0031701	P32121 P49407 P01019
GO:0001102	O75376 P05412 Q09472 P16220 P15336 P35222 Q92793 O14503 P84022
GO:0031625	O96017 Q9UBN7 P10809 P05141 O75306 P29590 P60520 Q9Y6K9 Q00987 Q13501 P46379 P00533 P49407 Q9H832 Q9H492 O95166 Q15796 Q96FW1 Q99816 P20333 P42704 Q13077 Q93009 P32121 Q9UER7 O75925 Q04206 P04637 Q9GZQ8 Q9Y4K3 P15172 P62258 P63104 Q13404 Q13263 Q9UNE7 P11021 Q15843 Q9H0R8 P49841 P31930 P11142 P84022 O15169
GO:0047485	P37840 P27348 Q99623 O43707 P36873 P62158 Q9UER7 Q13315 Q04206 Q9Y4K3 P50542 O00560 P63220 P04637 Q13813 P09874 P60228 P68400 Q06330 Q92574
GO:0003727	Q9UBU9 Q9UKV8 Q9HCK5 P09651 P09429 Q9HC52 Q9UL18 P62487
GO:0003725	P12814 Q00610 P10809 Q9UKV8 P68371 P08238 Q9HCK5 O95793 P08670 P09429 P19525 Q9UL18
GO:0016651	P49821 P03901 O75306 O43181 P28331 Q9BQ95 Q16718 O95831 O75489 O00217
GO:0003682	P54253 Q04206 O00267 Q92793 P23771 P67809 P00533 P51692 Q09472 O43889 Q15796 Q9H6U6 P19838 P03372 Q92769 P01100 P37198 P12757 Q06330 Q04864 P51610 P34897 Q13485 Q00653 P35222 P04637 P09874 Q92900 P15172 P67870 O75376 P05412 Q15424 Q14683 P15336 P12004 P28340 P84022 Q8WYH8
GO:0002039	Q93009 P67809 P61289 Q09472 P10809 Q15831 Q8N9N5 Q9UER7 Q92793 Q96EB6 Q16594 Q12824 P49841 Q15327 P04637 Q00987 P13639 P42858 O15169
GO:0003684	P29372 Q09472 P23396 Q16531 P27695 P09429 P54725 Q92793 P04637 P12004 P43246 P16104 P28340
GO:0003729	P67809 P42766 Q9UKV8 P23396 Q13283 P40429 Q9Y383 P46782 P38919 P15880 P33240 Q99497
GO:0005200	Q9BQE3 P68366 Q01082 Q01484 P08670 P68371 P11171 P68133 Q15323 P17661 P19012 P60709 Q13813 Q71U36 P14136
GO:0031432	Q969Q1 P62158 Q13557 Q15327 O15273 P35609
GO:0004674	Q59H18 Q16539 P31749 Q13177 Q13523 P53350 P19525 Q9H422 P11802 P78527 Q8WZ42 Q8NB16 Q16659 Q13315 Q13418 Q13501 P68400 O96017 P06493 Q09013 Q15831 Q9UHD2 Q5S007 P31751 Q13557 P24941 Q13043 P52564 O15530 P10398 P04049 P49841 P42345
GO:0070412	P05412 Q15796 P35813 Q13485 P01100 Q15327 P09874 P35222 P84022 O15169
GO:0005178	P17301 P12814 Q08431 P49023 Q86UX7 Q03001 Q13418 P14136 P12931 P05556 P49841 P02751 O43707 P07996 P19320 P35609 P48509
GO:0030331	P49407 O75376 Q99623 P12931 P35222 P12004 P17844 A5YKK6
GO:0030235	P31749 P08238 P62158 P03372 P63167 P07900
GO:0001047	Q00839 Q9UBN7 P24522 Q9UKV8 Q15424 Q92769 O00716 P15173 Q9UL18 P15172 Q09472
GO:0061630	Q13404 Q9Y3C7 Q9H832 Q6ZNA4 Q9HAU4 Q969Q1 Q9UJ41 Q9UNE7 Q9Y4K3 Q9BTT4 P60953 P40337 Q7Z6E9 Q00987 Q6UWE0
GO:0019901	P84022 P31749 Q13177 P49023 P39019 Q04206 Q15424 P05556 P08575 P53350 P60484 Q05639 P04792 Q13501 Q8WZ42 P62993 P31947 P46940 Q16659 P48059 P14635 Q13418 P21796 Q01484 P50570 P13639 Q96EY1 O96017 Q7Z434 P19429 Q00610 P23396 P40763 P08238 P30086 P60953 Q15058 P09619 P12931 P30048 P62140 O14640 O15530 P04637 Q03135 P09874 Q16543 Q9Y4K3 Q99459 P06748 P63104 P52564 P68104 P36873 Q9UER7 P62158 P63000 P15336 Q14764 P49841 Q92934 P24385 Q8NB16 P03891 P25054 P43246 O60674 P42345 O15169
GO:0000979	P42229 P51692 Q9H7B4 P42224 P01100 Q09472 P04637 P23771 Q06330 P08047
GO:0031996	P62158 Q13077 Q9Y4K3 P63000 P60953
GO:0070851	P05067 P12931 P06241
GO:0042975	Q92731 Q00987 Q9Y6K9 Q92793 O75376
