GO:0048010	O00487 Q15759 Q02750 P31749 O00231 P16333 P20936 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P35916 P17980 P27361 P46108 Q05397 P42336 P19174 P60953 Q13200 P35221 Q02297 P27986 P0CG48 O15530 O60674 P0CG47 P62158 P62195 P01112 Q13554 Q03135
GO:0048013	P35579 P01112 P60953 P63010 P07947 Q05397 P20936 P46108
GO:1901215	Q12933 P31749 Q00535 P16220 Q5S007 Q96EB6 P40763 P35222 Q92731 Q9Y6K9 Q99497
GO:0048015	P00533 P27986 P62993 P31749 O15530 Q02297 P42336 P16220 P49841 P49840 P38936 P60484 Q00987 Q12778
GO:0038096	P27986 P62993 P42336 P08238 P19174 P60953 P16333 P07947 Q05397 P46108 P27361
GO:0001570	P35222 Q05397 P20936 Q969H0 Q9UBP5 Q03135
GO:0002756	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0038095	O00487 Q02750 P31749 O00231 Q15750 P20936 P60484 Q9Y6K9 Q00987 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P19838 P17980 P27361 Q05397 P42336 P19174 Q13200 P38936 P0CG48 Q13469 Q12778 Q02297 P27986 P05412 O15530 P16220 O60674 P0CG47 P62158 P62195 Q13616 P01112 Q13554 P49841 P49840
GO:0060070	Q5S007 P60953 P60484 P01106 P35222 O14641 P25054 P49841 O15169
GO:0043491	P31749 P42336 Q13418 Q96FE5 P60484 Q02962
GO:0007050	P06400 Q02750 P01106 Q13418 Q93034 P01112 Q99816 P54646 Q13616 P04637 P38936 P25054 P43246 Q13131
GO:0035094	P29353 P16220 Q92769 P42574 P05305
GO:2000060	P60484 O15169 Q05397 Q969H0
GO:0006355	P54253 Q15759 O43159 Q92731 Q15637 P01106 Q9NPA5 Q9H334 O43463 Q16512 Q969H0 Q9Y6K9 Q15047 Q9NYB0 Q8N9N5 Q9NQ87 Q04724 Q09472 O00422 Q13131 Q9UPT9 P19838 Q99814 Q92769 P30153 P06213 O60341 Q06330 Q02962 P06400 Q12888 P41218 P40763 P56524 Q93062 P67775 Q15319 Q00653 P35222 P04637 Q9UBP5 Q13469 Q12778 Q99459 P61964 Q14192 P05412 O15530 O43189 P16220 P49639 Q13573 Q96EB6 P15336 P54646 P39880 Q9UBB9 P47974
GO:0006357	Q14192 Q9H334 Q16512 P06400 Q04724 O00422 P19838 P46108 O60341 Q06330 P40763 Q15319 Q00653 P35222 P04637 Q12778 Q8N8B7 O95863 P49639 Q13573 P15336 P09429 P39880 Q969G3
GO:0045736	P25054 P42574 P21580 P38936
GO:0032481	P0CG48 Q09472 P0CG47 P19838 Q00653 P35222 Q9Y6K9 P78527
GO:0018107	Q00535 P49841 Q5S007 P31749 O15530
GO:0016310	Q15759 Q02750 P31749 P07947 P54646 Q13131 P78527 Q8WZ42 P00533 O00746 Q16659 Q38SD2 Q13418 P42336 P35916 P27361 P06213 Q05397 Q96QP1 Q00535 Q5S007 P40763 Q13554 O43353 O15530 O60674 Q16512 P49841 P49840
GO:0033209	O00487 Q12933 P0CG47 P0CG48 O00231 P25786 Q99460 O60674 Q15750 Q96EP0 P62195 P21580 Q13200 Q13616 P17980 Q9Y6K9 Q00653 Q15008
GO:0035872	P05067 Q15750 P0CG48 P08238 P0CG47 P21580 O43353 Q9Y6K9
GO:0009790	Q02297 Q9UPT9 Q05397 P20936 P46379
GO:0045429	P00533 P31749 P08238 O60674 P05305 P06213
GO:0009411	Q13131 Q9NZJ0 P23025 P04637 P38936 P42574
GO:0046677	Q12891 O60674 Q00987 P42574 P04637
GO:0038124	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0034644	P27986 P29972 P01106 P04637 Q969H0 O60341 Q09472
GO:0007411	O00487 Q02750 O00231 P16333 P07947 Q9Y4C0 P20936 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P63010 P17980 P27361 Q05397 Q00535 P08238 P19174 P60953 Q13200 Q02297 P35579 P0CG48 P05556 P16220 O60674 P0CG47 P62158 P62195 P01112 Q13554 P49841
GO:0001666	P21817 Q09472 P10809 P29353 P16220 Q9UBC3 P42574 P05305 Q99814 O14543 Q03135 Q13131
GO:0008543	O00487 Q02750 P31749 O00231 P20936 P60484 Q00987 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P17980 P27361 Q05397 P30153 P42336 P19174 P67775 Q13200 P38936 Q12778 P46940 Q02297 P27986 P0CG48 O15530 P16220 O60674 P0CG47 P62158 P62195 P01112 Q13554 P49841 P49840
GO:0046777	P00533 P31749 O15530 Q00535 Q5S007 P07947 P35916 Q13554 P49841 Q05397 P06213 O60674
GO:0007049	Q53GS9 Q8N9N5 P54274 P40692 O75400 Q9NWV8 O43463 Q13526 P06400 P62140 Q09472 Q9UPT9 Q13620 Q99816 P27361 Q9BRK4 Q00535 P12270 P04637 P38936 Q99459 Q53GT1 P62136 P62491 Q08379 Q16659
GO:0010165	P04083 P43246 P42574 P04637 P38936
GO:0071479	P05556 P62993 P04637 Q96EB6 P38936
GO:0001701	P35579 P43246 Q15750 P19174 P05305 P05556 P35222 P04637 O60341 O15169
GO:0038083	P07947 O60674 Q05397 P06213 P27361
GO:0043488	P63104 O00487 Q15759 P47974 P31749 P31946 P25786 Q99460 P0CG47 P62195 Q13200 P17980 P0CG48 Q15008 O00231
GO:0043161	Q16531 Q99460 P62195 Q96EB6 Q13200 P49840 Q04323 Q15008
GO:0036120	P16220 P46940 P02751 P07947
GO:0033683	P0CG47 P0CG48 Q13620 P23025 Q16531
GO:1900034	Q09472 P08238 P12270 Q96EB6 Q13554 P49841 P49790 O75190 P27361
GO:0060440	Q02750 P35222 P27361
GO:0045740	P00533 P05412 P29353 P60953 P01112 P06213
GO:0034134	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0002224	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0031397	Q00535 P21580 Q04323 Q03135 Q96BK5 Q99497
GO:0071260	P31749 P29972 P56524 P19838 P05556 P35222 P27361 Q03135 P49841
GO:0002223	O00487 P0CG47 P0CG48 O00231 P25786 Q99460 Q15750 P62158 P19838 Q13616 P62195 P01112 Q13200 Q09472 P17980 Q9Y6K9 Q13469 Q15008 Q00653 O15530
GO:0008284	P05556 P60484 Q00987 Q13131 P00533 P29353 P35916 Q13418 P05305 P01106 Q05397 P06213 Q06330 Q02962 P02751 P56524 P35222 Q92769 P05412 P13725 O60674 Q96EB6 P01112
GO:0008285	Q02750 P05556 P60484 P06400 Q99816 Q9BRK4 Q06330 O14964 P40763 P56524 P35222 P04637 P38936 Q96BK5 P05412 P13725 O60674 Q13616 Q93034 P01112 Q03135 P25054
GO:0008286	O00487 Q02750 P31749 O00231 P54646 P20936 Q13131 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P17980 P27361 P06213 Q05397 P42336 Q13200 Q12778 Q02297 P27986 P0CG48 O15530 O60674 P0CG47 P62158 P62195 P01112 Q13554 P49840
GO:0031398	Q5S007 P0CG47 Q03135 Q969H0 O43353 O15169
GO:0008283	P00533 P01112 P31749 P13725 Q02297 Q00535 P40763 Q13418 Q93034 P60484 P35222 Q13616 P04637 P25054 O60341 P78527 P47974
GO:0070301	P04083 P29972 Q13131 P21580 Q96EB6 Q92769 P49841 Q00987 Q12778 Q02962 Q99497
GO:0031145	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 P17980 Q15008
GO:0045597	P25054 P05412 O60674 Q02750 O14543
GO:0045595	Q02297 P30153 P67775 P35222 Q92876 P25054 O14543
GO:0006977	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13200 P17980 P04637 P38936 Q00987 Q15008
GO:0045892	P54253 Q14192 Q9H334 O43463 Q00987 Q9NQ87 Q04724 P31946 P19838 Q99816 O60341 Q06330 Q02962 P06400 P27348 Q00535 P56524 Q9UBC3 P35222 P04637 Q92769 Q9UBP5 Q12778 O75190 Q02297 P05412 O95863 P62195 Q13573 Q96EB6 Q969G3
GO:0045893	Q8N9N5 Q92731 P01106 Q14192 P06400 Q09472 Q9UPT9 P19838 Q13418 Q92769 P27361 P06213 Q02962 Q04917 Q12888 P40763 P56524 P35222 O14641 P04637 Q13469 Q12778 P05412 O95863 P16220 P62195 O15169
GO:0007409	P05067 Q00535 P16220 Q96FE5 P49841 P25054 Q02962
GO:0006979	P05067 P31749 Q5S007 P19838 P23025 Q96EB6 Q99814 P04637 O60674 Q99497
GO:0051092	Q12933 Q15750 P0CG48 P0CG47 P19838 Q00653 Q96EP0 O43353 Q9Y6K9 Q9NYB0
