Q01844	568611 569655 568650
P00441	1045383
Q9UK41	602263 568611 569655
P30050	602263 1283665 23854 568886 440185 568590 568867 724678
P02649	554348 568611 554407 554355 554359
Q6ZNA4	1045383
O00231	602263 568819 568838 440185 568611 568650
Q13501	602263 568819 1045383 568612 568611 568650 724678
P42677	602263 568838 1283665 568402 440185 568590 724678
P47914	602263 23854 554355 724678
P00156	568838 568863 568867
Q07065	602263 1084136 568611 568650
Q9Y4E8	602263
P57740	602263
Q6NYC8	568819 569655
Q71U36	1246768 602263 568606 1283665 568402 440185 568590 568611 554359 568650 724678
P06733	1246768 602263 568819 568838 554348 568886 568590 568611 568863 568867 568866 554355 554356
P00395	568606 568819 568866
P04626	568819 440185 1045383
P53350	568611 554359 568650
P61457	602263
P19474	602263 1045383 568590
O75489	602263 724678
Q00987	440185 568611 568650
P36873	602263 568606 568611 568650
A5YKK6	602263 440185 1045383
P05556	602263 568819 568838 554348 440185 568611 554356
P15259	602263
Q92900	602263 440185 1045383
Q01082	1246768 602263 568838 23854 771931 568611 568866
P46940	568819 1045383
P62280	602263 23854 440185 568590
P25398	602263 23854 568590 554359
P46781	602263 23854 1084136 440185 568590 554359
P26373	602263 23854 440185 724678
P01106	602263 568606 568819 568838 440185 568611 568867 568866
P63279	208293 602263 568606 568819 23854 440185 1045383 771931 568611 569655
P01100	568819 568611 554355
P09382	602263
P60709	602263 568838 23854 1084136 568886 440185 568590 568611 554356 568650 724678
P42704	602263 23854 568886 440185 568611 568650 724678
P46379	602263 440185 1045383 771931 568611 568650
P35609	554348 554356
Q96EY1	602263 568819 568886 440185 568866 554356 724678
Q8TCT9	602263 568819 568838 554348 440185 568611 568866 554356 568650 724678
Q9UJS0	602263 23854 724678
P37840	1045383
O14949	602263 568606
P23297	602263
Q15831	568819
Q99832	602263 1283665 568867 724678
P62258	602263 970170 23854 554348 1084136 568590 771931 568611 554356 724678
P09619	208293 568819 440185
P60953	602263 1079863 1045383 569655
P12931	568606 554348 440185 1045383 568590 568611 568650
Q92667	602263
Q96EB6	568611 568650
P04637	208293 602263 568606 568819 568838 23854 554348 568886 440185 1045383 568611 568863 554407 568867 568866 554355 554356 568650 724678
P08047	568665 23854 440185 568612 568611 568597 569655 568650
Q99459	602263 568611 568650
P04156	568838 568886 568611 568867
P20963	568665 568611 568650
P02652	554348 554355
Q9UMX0	554348 440185 1045383 554356
Q7Z6Z7	602263 568886 568611 568650 724678
P21333	602263 568819 568590 771931 554356
P06576	602263 23854 568611 568867 568650 724678
Q9NPL8	724678
P62158	1246768 602263 568886 568611 568650 724678
Q12873	602263
Q15843	602263 440185 568590 568611 568650
P60900	602263 568819 568838 554348 440185 568611 554356 568650
P09429	602263 568606
Q9NVV9	554348 554356
P63302	568838 568886
P42345	602263
O43707	602263 440185 771931
P11021	1246768 602263 568819 568838 568402 554348 1084136 568886 440185 771931 568611 568863 568867 554355 568650 724678
Q14008	602263 440185
Q13813	602263 568819 23854 568886 771931 568863 568867 554359
P06241	568606 554348 568590 771931 568611 554355 554356 554359 568650
P42574	568611
P13073	568606 568611 568650 724678
