GO:0042169	Q6PD62 P63244 O60674 P12931 P37198 Q13501
GO:0050998	O75052 P62158 P35222 P60709 Q03135 P50570
GO:0042162	Q15554 Q92900 P13010 P54274 Q9NUX5 Q9NYB0
GO:0008134	P08047 Q9GZT8 Q04206 P01106 Q14192 Q15327 P78527 P67809 Q14145 P49407 P19793 Q09472 P21333 P42858 Q15796 P19838 P03372 Q92769 P63279 P01100 P15172 Q96EY1 Q93009 P63104 P40337 P23396 P40763 P55036 O75925 O00571 P35222 P04637 P09874 P23497 Q13043 Q99497 P67870 P05412 P16220 Q96EB6 P15336 P09429 P49841 Q06330 P84022 Q92793
GO:0001102	O75376 P05412 Q09472 P16220 P15336 P35222 Q92793 O14503 P84022
GO:0031625	Q9UBN7 P13010 P10809 P05141 O75306 P29590 P60520 Q9Y6K9 Q00987 Q13501 P46379 P00533 P49407 Q9H492 O95166 Q15796 Q96FW1 Q99816 P42704 Q93009 P32121 P11021 O75925 Q04206 P04637 Q9Y4K3 P15172 P62258 P63104 Q13404 Q13263 Q9UNE7 Q15843 Q9H0R8 P49841 P31930 P11142 P84022 O15169
GO:0047485	P37840 P27348 P04637 P36873 P62158 Q13315 Q04206 Q9Y4K3 P60228 O00560 P63220 O43707 P09874 Q13813 Q06330
GO:0001228	Q09472 P40763 P15336 Q92793 P04637 Q13485 Q06330 P15172 P15173
GO:0003727	Q9HCK5 Q9UKV8 Q9UBU9 P09429 Q9UL18 P62487
GO:0003725	P12814 Q00610 P10809 Q9UKV8 P68371 P08238 Q9HCK5 O95793 P09429 P19525 Q9UL18
GO:0016651	P49821 P03901 O75306 O43181 P28331 Q9BQ95 Q16718 O95831 O75489 O00217
GO:0005515	P68366 P31749 P54274 Q8N6Y0 Q6PD62 Q99942 Q49A88 P08473 Q8WZ42 Q9HAU4 Q9Y2R0 P19429 O00716 O75052 O75190 O14558 P63000 Q14145 Q9UBB9 P03897 P02768 P16298 P62979 P35968 O00560 Q16795 P04049 P62280 Q15008 P67809 P22736 P42858 P39023 P68104 P27635 Q9NX24 P11142 Q92934 Q9Y5K8 Q14192 Q9BQ95 Q9Y4G8 P60520 Q14807 Q14203 Q13561 P62266 Q16637 P61247 P17844 P50570 Q06330 Q7Z434 Q09013 Q5S007 P30086 P98160 P57740 P09211 P57678 P09382 Q8N3C7 P06748 Q9HC24 Q9Y375 Q96EB6 Q96C32 Q9BSB4 P07195 Q01844 Q04206 Q9BTT4 Q71U36 Q15323 P04626 Q15327 Q9Y5V3 Q9Y2Q3 Q00987 Q15047 O43542 A5YKK6 P37840 Q9P0L0 P46940 O95166 O95163 P0CG48 P60709 P32121 Q96EY1 P60468 P10916 O14786 P40763 P02652 P09619 O75925 P38919 Q00653 P15880 P67870 O60506 Q16594 P84022 Q9UK41 O15169 Q9UKV8 Q9Y4K3 Q00005 Q13523 Q13526 Q9Y6K9 P35609 P62993 P63316 P62380 P63313 Q92731 P61586 A0MZ66 Q13162 P00395 P00403 Q13283 P23497 Q96BK5 Q13043 Q01449 P52564 P61981 P15336 Q86VR2 Q9UNE7 P13984 Q00765 O00483 P19438 P05141 Q9NPC6 Q9UBL3 Q9NYB0 Q05639 P03886 P12814 P29372 P14635 Q14789 P07996 Q93009 Q93008 Q00610 P35813 O00571 P19793 P24941 P63104 Q13263 P13073 P13196 P40692 Q92733 P29590 Q9NUX5 Q13501 P00533 O00505 Q09472 Q15109 P04406 Q13418 P68133 P24539 P02751 O95831 P29692 P20963 O75251 P30153 P10606 P55036 P35222 P10176 Q15038 Q5U5Q3 P62701 O60674 Q15424 Q13573 P68431 Q9NRI5 P00441 P54253 Q7L5N1 O00231 P42677 P06732 P05556 P53355 P17020 P53350 O14503 Q13137 P46379 Q15554 Q01082 Q9UKG1 P46783 P46782 P46781 P26373 Q6P597 P37198 P42704 P54296 O43707 P12931 P04637 Q99459 Q9UMX0 O75376 P25786 P09429 P49841 Q13813 P40939 Q96CV9 P09874 P20674 Q9H8W4 P49407 P31947 P31946 O43889 P25445 O95870 P06396 Q9Y371 O15273 P02792 P02794 P40337 P23396 O75923 P60953 P48047 O15530 Q16643 P16220 Q59H18 P42229 Q13177 P42224 P98082 Q8ND90 Q92793 Q13642 P04792 Q8TB24 P50461 Q9H492 P21333 P19838 P78527 Q99816 P12110 P27348 O94842 P51610 Q14764 Q9Y281 P62140 Q6UWE0 Q99497 P08865 P52815 Q06124 P19474 P26447 Q9NRR5 P13010 P10809 Q8WUM0 O95470 Q5SW79 Q16543 Q16540 Q13315 P19012 P14136 Q14683 P06493 P08238 P23297 P28331 Q6P1J9 Q8IUH5 Q13404 P24522 P06733 Q9HCK5 P17661 P63167 O95295 P55084 P28340 P01034 Q9H845 P08047 Q92614 Q9Y4E8 P49792 P43490 P35232 P78549 O75489 Q15796 P01106 P01100 Q9UJY1 Q15831 Q15843 P27469 P51149 P51148 P51668 Q9GZT8 P62424 P07900 Q9UL18 P11171 P36578 Q9H2H9 Q9H6Y7 P83731 Q93062 P16104 Q8TAF3 P63244 Q9UJ41 Q9NZ42 Q9H0R8 P49023 Q9UBU9 Q9Y6M9 P60228 P19525 O95619 P00414 P48059 P03372 Q92769 Q16891 O95817 P12757 Q03001 P12883 Q9Y3C5 Q9Y3C7 P35579 P13473 P05413 P10398 P62888 Q7Z6E9 Q03135 Q7Z3K3 P42345 P41222 Q9UBN7 P31150 P51965 O75306 Q92530 Q9NPE3 P60409 P21796 P27105 P05412 Q9NPL8 P26599 Q969Q1 Q9P035 P16144 O60832 Q7Z6Z7 Q15058 Q13485 Q92997 Q15051 P15172 P15173 Q00839 Q16531 A2RTX5 Q7Z7A1 P39687 P26678 Q9P0J0 Q96IP4 P17301 O95793 P02649 Q6ZNA4 P25815 Q9NX58 P36873 Q13432 Q92900 Q8NB16 P00519 Q9NY12 P25705 Q96FW1 Q6UXB4 P63279 P01116 P46777 P01160 Q99832 P62258 P49768 P04156 P06576 Q14232 Q6P2Q9 P62158 P60900 Q16740 P11021 P06241 P42574
GO:0003682	P54253 Q04206 P09874 Q92793 P67809 P00533 Q92900 Q09472 O43889 Q15796 P19838 P03372 Q92769 P01100 P37198 P12757 Q06330 P51610 Q00653 P35222 P04637 Q13485 P15172 P67870 O75376 P05412 Q15424 Q14683 P15336 P28340 P84022
GO:0002039	P67809 Q93009 Q09472 P10809 P42858 Q15831 Q96EB6 Q16594 P49841 Q15327 P04637 Q00987 Q92793 O15169
GO:0003684	P29372 Q09472 P23396 P09429 Q16531 Q92793 P04637 P28340 P16104 P13010
GO:0005200	O95619 P68366 Q01082 P68371 P11171 P68133 Q15323 P17661 P19012 P60709 Q13813 Q71U36 P14136
GO:0031432	O15273 P62158 Q15327 Q969Q1 P35609
