hf.14	hf.19	hf.21	hf.24	hf.26	hf.27	hf.8	hf.30	hf.32	hf.48
Q9UJY1	H0YN73	O14561	Q16446	A0A087X2B9	H0YFA4	C9JXB8	P62269	Q99798	Q9UHP9
P42677	D6RD47	P0CJ75	G5E9R3	P62875	P13639	E5RIP1	P20674	C9JXB8	A0A087WZY2
H0YHD8	P23327	Q99798	K7EM08	H0Y4J6	C9JIZ6	E9PR30	F8WD96	P0DMP1	P06576
P42766	J3QL01	H0YH81	P63302	J3KS10	A0A0A0MR13	P30086	P46781	Q8WVH6	K7EM08
P62269	H0YHD8	J3KTJ3	H0YC19	P63313	H0YH81	P46781	G3V192	J3KRK2	P63220
Q9H3K2	A0A075B6E2	P67809	P67809	F8W7C6	P15259	H0YLP6	P48047	P62269	Q02878
G5E9R3	Q02878	P99999	F8WER5	O14558	F8WER5	P02792	Q9Y5U8	P46781	A0A0A0MS51
O14561	H0YLP6	Q5T7Y4	P62424	P48201	J3QL01	G3XAN0	G5E9R3	P06858	H3BUK8
P02792	Q99798	D6R9C3	P48047	H3BRM5	P48509	F8W727	M0QX67	P25398	P62424
G3V192	Q6NXQ3	Q9Y6M9	P0CJ75	P68133	G5E9R3	E9PH64	Q5T0H8	K7ERT8	H0YH81
A0A096LP55	Q9UJY1	G5E9R3	E9PKU4	P02144	Q6NXQ3	Q9Y6M9	P0DMP1	P13639	C9JM61
O00151	P25398	P06576	J3KNU0	Q08E91	A0A0C4DH84	P83731	P63313	A0A087WZY2	G3V1V8
P30086	G3V1Y7	Q02878	Q9Y5U8	P83731	E9PJK1	P00441	E9PKU4	H0YDD8	E5RIR0
P00441	K7ERT8	P20674	Q02878	P47914	P30086	D6R9C3	P62424	P62424	C9JXB8
P06858	G5E9R3	X1WI28	P25398	H9ME53	H0YN73	H0YC19	P0CJ75	F8W727	H0YLP6
H0YC19	H0YEN5	G3XAN0	H0YF23	P02792	P68871	G5E9R3	G3V1V8	Q9Y6M9	M0QY84
O43920	P62424	P63313	P62249	D6R9C3	E9PH38	O43676	A0A087WZY2	P67809	D3YTB1
E9PJK1	O00151	P02792	G3V192	K7EM56	P62424	P20674	Q16446	D3YTB1	P23327
E9PKU4	P62269	F8W727	P20674	H0YES8	K7ERT8	Q12988	Q9Y6M9	K7EQM4	P62701
Q9Y6M9	F8W727	H0YDD8	J3QQT9	M0R0T8	P69905	P27469	H0YF23	P83731	J3QQ67
A0A087WZY2	F8VX62	P83731	C9JXB8	J3QRQ2	H0YLP6	H3BUK8	P67809	P62701	H0YF23
P62424	H0YFA4	P01034	E5RIP1	P22352	Q02878	P46777	P25398	Q02878	H3BU78
H0YDD8	G5E9R0	G3V1V8	K7ERT8	E9PLX7	A0A075B6E2	H3BR70	F5H747	H0YEN5	Q9NPC6
P63313	P48681	E9PH64	F8W727	M0R1M5	P00441	B8ZZ51	Q9UJY1	O14561	J3KTJ3
Q16446	G5E9G0	P00441	D3YTB1	Q5BJH1	E5RIP1	S4R3F9	K7ERT8	M0QZ43	P62269
P51970	P0CJ75	M0QYS1	Q9UJY1	H0YC19	M0QY84	P51970	J3KNU0	G3V192	P62249
P17568	H0Y9V9	B8ZZ51	O43920	O43920	Q9UJY1	J3QQ67	P01034	P20674	E9PKU4
P08574	P62701	F2Z3P9	P08670	G3V1Y7	O00151	Q9NPC6	Q9H3K2	E9PKU4	Q99798
C9JXB8	F8WER5	P46781	O14561	O75380	P62269	J3JS69	A0A0A0MS51	M0QY84	H7C086
P62249	P48509	H9ME53	Q16654	M0QYX1	F8W727	J3KTJ3	F8W727	A8MUI2	E5RIP1
E5RIP1	J3KTJ3	K7ERT8	A0A087WZY2	Q5T0H8	P08670	E9PH38	D3YTB1	H0YF23	P01034
P10606	H7C086	P10606	P62701	H3BTH3	P67809	F8WER5	O14561	F5H747	G3XAN0
F8WEI7	Q9H3K2	J3JS69	A0A096LP55	M0R0P7	H0Y9R4	A0A075B6E2	Q02878	P63313	P83731
A8MUI2	H7BYD9	P62424	O00151	I3L236	G5E9G0	Q9UHP9	M0QZ43	O43676	C9JIZ6
H7C4C5	C9JXB8	Q5JPU3	G5E9G0	J3JS69	M0R1M5	H0YE72	O00151	H0Y9V9	P67809
P01034	P67809	P51970	Q5T0H8	P23327	H0YEN5	M0QYS1	E9PJK1	O60739	P17568
